科室,排名,医院名称,官网URL,省份,城市
泌尿外科,获提名,厦门大学附属第一医院,https://jiankang.baidu.com/med/template/#/pages/hospital/iframe/index?pcIframeSrc=https%3A%2F%2Fjiankang.baidu.com%2F%23%2Fpages%2Fbrand%2Fsearch%2Findex%3Fatn%3Dsearch%26clk_loc%3Dsearch5041_module2_dxwz%26customParams%3DmedQuSndDept%253D%2525E5%2525A6%252587%2525E7%2525A7%252591%26from_sf%3D1%26hidden_tab%3D1%26hospital_name%3D%25E5%258E%25A6%25E9%2597%25A8%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%26openapi%3D1%26pd%3Dmed%26resource_id%3D5216%26search_channel%3Dwz%26search_section%3Dwz%26sf_ref%3Dsearch_5041_pc%26title%3D%25E6%2590%259C%25E7%25B4%25A2%26vn%3Dmed%26word%3D%25E5%258E%25A6%25E9%2597%25A8%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%2B%25E5%25AE%2598%25E7%25BD%2591,福建,厦门
泌尿外科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
泌尿外科,获提名,复旦大学附属肿瘤医院,https://www.shca.org.cn/,,
泌尿外科,获提名,东南大学附属中大医院,https://www.njzyy.com/,,
皮肤科,1,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
皮肤科,2,复旦大学附属华山医院,https://www.huashan.org.cn/,,
皮肤科,3,上海市第六人民医院,https://www.6thhosp.com/,上海,上海
皮肤科,4,中国医学科学院皮肤病医院,,,
皮肤科,5,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
皮肤科,6,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
皮肤科,7,山东第一医科大学附属皮肤病医院,,山东,
皮肤科,8,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
皮肤科,9,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
皮肤科,10,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
皮肤科,获提名,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
皮肤科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
皮肤科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
皮肤科,获提名,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
皮肤科,获提名,上海市第一人民医院,https://www.firsthospital.cn/,上海,上海
皮肤科,获提名,东南大学附属中大医院,https://www.njzyy.com/,,
皮肤科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
皮肤科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
皮肤科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
皮肤科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
皮肤科,获提名,福建省立医院,https://www.fjsl.com.cn/,福建,
皮肤科,获提名,上海交通大学医学院附属第九人民医院,https://www.9hospital.com.cn/,上海,上海
皮肤科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
皮肤科,获提名,上海市皮肤病医院,,上海,上海
皮肤科,获提名,海军军医大学第二附属医院,,,
皮肤科,获提名,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
神经内科,1,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
神经内科,2,复旦大学附属华山医院,https://www.huashan.org.cn/,,
神经内科,3,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
神经内科,4,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
神经内科,5,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
神经内科,6,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
神经内科,7,江苏省人民医院,https://www.jsph.org.cn/,江苏,
神经内科,8,（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
神经内科,9,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
神经内科,10,上海交通大学医学院附属仁济医院,https://www.renji.com/,上海,上海
神经内科,获提名,中国人民解放军东部战区总医院,,江苏,南京
神经内科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
神经内科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
神经内科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
神经内科,获提名,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
神经内科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
神经内科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
神经内科,获提名,海军军医大学第一附属医院,,,
神经内科,获提名,南昌大学第二附属医院,https://www.jxndefy.cn/,江西,南昌
神经内科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
神经内科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
神经内科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
神经内科,获提名,苏州大学附属第二医院,,江苏,苏州
神经内科,获提名,安徽医科大学第二附属医院,https://www.ay2fy.com/,安徽,
神经内科,获提名,青岛市市立医院,,山东,青岛
神经外科,1,中国人民解放军东部战区总医院,,江苏,南京
神经外科,2,复旦大学附属华山医院,https://www.huashan.org.cn/,,
神经外科,3,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
神经外科,4,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
神经外科,5,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
神经外科,6,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
神经外科,7,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
神经外科,8,瑞金医院,https://www.rjh.com.cn/,,
神经外科,9,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
神经外科,10,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
神经外科,获提名,东南大学附属中大医院,https://www.njzyy.com/,,
神经外科,获提名,上海交通大学医学院附属仁济医院,https://www.renji.com/,上海,上海
神经外科,获提名,上海市第六人民医院,https://www.6thhosp.com/,上海,上海
神经外科,获提名,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
神经外科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
神经外科,获提名,海军军医大学第二附属医院,,,
神经外科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
神经外科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
神经外科,获提名,海军军医大学第一附属医院,,,
神经外科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
神经外科,获提名,苏州大学附属第一医院,,江苏,苏州
神经外科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
神经外科,获提名,南昌大学第二附属医院,https://www.jxndefy.cn/,江西,南昌
神经外科,获提名,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
神经外科,获提名,苏州大学附属第二医院,,江苏,苏州
神经外科,获提名,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
神经外科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
小儿内科,1,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
小儿内科,2,仁济医院,https://www.renji.com/,,
小儿内科,3,复旦大学附属儿科医院,https://ch.shmu.edu.cn/,,
小儿内科,4,海军军医大学第一附属医院,,,
小儿内科,5,浙江大学医学院附属儿童医院,https://www.zju-ch.com/,浙江,
小儿内科,6,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
