科室,排名,医院名,官网URL
血液学,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,
眼科,1,中山大学中山眼科中心,https://www.gzzoc.com/
眼科,2,汕头大学·香港中文大学联合汕头国际眼科中心,https://www.jsiec.org/
眼科,3,深圳市眼科医院,https://www.szeye.cn/
眼科,4,广东省人民医院,https://www.gdghospital.org.cn/
眼科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
眼科,获提名医院,中山大学中山眼科中心海南眼科医院,
眼科,获提名医院,广西壮族自治区人民医院,
眼科,获提名医院,海南省人民医院,
眼科,获提名医院,海南医科大学第一附属医院,
眼科,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
眼科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
眼科,获提名医院,广州医科大学附属第二医院,
整形外科,1,南方医科大学南方医院,https://www.nfyy.com/
整形外科,2,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
整形外科,3,海南省人民医院,
整形外科,4,中山大学孙逸仙纪念医院,
整形外科,5,中国人民解放军南部战区总医院,
整形外科,获提名医院,中山大学附属第一医院,
整形外科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
整形外科,获提名医院,汕头大学医学院第二附属医院,
整形外科,获提名医院,广东省第二人民医院（广东省应急医院）,
整形外科,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
整形外科,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
整形外科,获提名医院,海南医科大学第一附属医院,
整形外科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
整形外科,获提名医院,汕头大学医学院第一附属医院,https://www.sthospital.com/
整形外科,获提名医院,北京大学深圳医院,
整形外科,获提名医院,广东医科大学附属医院,
肿瘤学,1,中山大学肿瘤防治中心,
肿瘤学,2,广东省人民医院,https://www.gdghospital.org.cn/
肿瘤学,3,广西医科大学附属肿瘤医院,
肿瘤学,4,南方医科大学南方医院,https://www.nfyy.com/
肿瘤学,5,中山大学附属第一医院,
肿瘤学,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
肿瘤学,获提名医院,海南省肿瘤医院,https://www.hnszlyy.com/
肿瘤学,获提名医院,中国医学科学院肿瘤医院深圳医院,https://www.cicams.ac.cn/
肿瘤学,获提名医院,广州医科大学附属肿瘤医院,
肿瘤学,获提名医院,中山大学孙逸仙纪念医院,
肿瘤学,获提名医院,海南省人民医院,
肿瘤学,获提名医院,中山大学附属第六医院,
肿瘤学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
肿瘤学,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
老年医学,1,广东省人民医院,https://www.gdghospital.org.cn/
老年医学,2,中山大学附属第一医院,
老年医学,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
老年医学,4,广州市第一人民医院,
老年医学,5,海南省人民医院,
老年医学,获提名医院,中国人民解放军南部战区总医院,
老年医学,获提名医院,南方医科大学南方医院,
老年医学,获提名医院,深圳市人民医院,https://www.szhospital.com/
老年医学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
老年医学,获提名医院,广西壮族自治区人民医院,
康复医学,1,中山大学附属第三医院,https://www.zssy.com.cn/
康复医学,2,南方医科大学珠江医院,https://www.zjyy.com.cn/
康复医学,3,中山大学附属第一医院,
康复医学,4,中山大学孙逸仙纪念医院,
康复医学,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
康复医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
康复医学,获提名医院,海口市人民医院,https://www.hkrmyy.com/
康复医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
康复医学,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
康复医学,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,
康复医学,获提名医院,广西壮族自治区江滨医院暨广西壮族自治区第三人民医院,
康复医学,获提名医院,海南省人民医院,
康复医学,获提名医院,广西壮族自治区人民医院,
康复医学,获提名医院,南方医科大学深圳医院,
康复医学,获提名医院,广州医科大学附属第二医院,
康复医学,获提名医院,广东省工伤康复中心,
康复医学,获提名医院,海南医科大学第二附属医院,
康复医学,获提名医院,海南医科大学第一附属医院,
康复医学,获提名医院,南方医科大学第三附属医院,
康复医学,获提名医院,中山大学附属第六医院,
检验医学,1,南方医科大学南方医院,https://www.nfyy.com/
检验医学,2,南方医科大学珠江医院,https://www.zjyy.com.cn/
检验医学,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
检验医学,4,中山大学附属第一医院,
检验医学,5,广东省中医院,https://www.gzhtcm.com/
检验医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
检验医学,获提名医院,海南省人民医院,
检验医学,获提名医院,南方医科大学深圳医院,
检验医学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
检验医学,获提名医院,中山大学孙逸仙纪念医院,
检验医学,获提名医院,北京大学深圳医院,
检验医学,获提名医院,广西壮族自治区人民医院,
检验医学,获提名医院,中国人民解放军总医院海南医院,
检验医学,获提名医院,中山大学肿瘤防治中心,
检验医学,获提名医院,深圳市人民医院,https://www.szhospital.com/
检验医学,获提名医院,中山大学附属第六医院,
检验医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
烧伤科,1,中山大学附属第一医院,
烧伤科,2,广州市红十字会医院,https://www.gzrch.com/
烧伤科,3,深圳市第二人民医院（深圳大学第一附属医院）,
烧伤科,4,广东省人民医院,https://www.gdghospital.org.cn/
烧伤科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
烧伤科,获提名医院,海南省人民医院,
烧伤科,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
烧伤科,获提名医院,中国人民解放军联勤保障部队第924医院,https://www.924yy.com/
烧伤科,获提名医院,南方医科大学深圳医院,
核医学,1,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
核医学,2,南方医科大学南方医院,https://www.nfyy.com/
核医学,3,中山大学附属第一医院,
核医学,4,南方医科大学珠江医院,https://www.zjyy.com.cn/
核医学,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
核医学,获提名医院,中山大学肿瘤防治中心,
核医学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
核医学,获提名医院,佛山市第一人民医院,https://www.fsyyy.com/
核医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
核医学,获提名医院,北京大学深圳医院,
核医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
核医学,获提名医院,中国人民解放军总医院海南医院,
核医学,获提名医院,桂林医学院附属医院,https://www.glmc.edu.cn/
